Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;NFE Snapshot Tick;NFE Snapshot Size (bits);NFE RTT;NFE Jitter;Multiplay FPS;Multiplay BitRate In;Multiplay BitRate Out;Multiplay RTT (ms);Multiplay PacketLoss;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
267;477701;411324416;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
268;510240;411324416;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
269;973767;411324416;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
270;520650;411324416;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
271;1075926;411324416;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
272;461989;411324416;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
273;459426;411324416;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
274;520964;411324416;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
275;460220;411324416;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
276;515226;411324416;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
277;459677;411324416;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
278;515699;411324416;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
279;456382;411324416;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
280;527729;411324416;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
281;458618;411324416;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
282;514743;411324416;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
283;457632;411324416;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
284;510583;411324416;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
285;456523;411324416;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
286;494423;411324416;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
287;460822;411324416;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
288;490511;411324416;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
289;461472;411324416;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
290;508588;411324416;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
291;456551;411324416;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
292;494548;411324416;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
293;490145;411324416;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
294;517697;411324416;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
295;456197;411324416;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
296;504593;411324416;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
297;457644;411324416;10952704;443637760;0;0;0;0;0;0;0;0;0;0;9;0;0;
