Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,CheckGateState,StatisticsSystem,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
88239,4484440,23126597632,61652992,79684898816,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88240,7621633,23126597632,61652992,79684898816,4414319,0,1108940,192942,0,0,0,0,0,4869,0.0,8364.0,0.0,4.0
88241,4558650,23126597632,61652992,79684898816,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88242,2563918,23126597632,61652992,79684898816,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88243,9266127,23126597632,61652992,79684898816,4670930,0,1101255,200566,0,0,0,0,0,4589,0.0,8364.0,0.0,4.0
88244,2736602,23126597632,61648896,79684894720,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88245,4572556,23126597632,61648896,79684894720,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88246,7721470,23126597632,61648896,79684894720,4418226,0,1100474,200727,0,0,0,0,0,4328,0.0,8364.0,0.0,4.0
88247,4826562,23126867968,61648896,79684894720,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88248,2887736,23126867968,61648896,79684894720,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88249,4567225,23126867968,61648896,79684894720,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88250,9602178,23126867968,61648896,79684894720,5543807,0,1119108,225022,0,0,0,0,0,6392,0.0,8364.0,0.0,4.0
88251,7449591,23142080512,106385408,79729631232,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88252,11261951,23156760576,106385408,79729631232,5328974,0,1137262,236062,0,0,0,0,0,6331,0.0,8364.0,0.0,4.0
88253,6680879,23171440640,106385408,79729631232,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88254,9623728,23171440640,106389504,79729635328,5428450,0,1118538,230763,0,0,0,0,0,6282,0.0,8364.0,0.0,4.0
88255,5204670,23171440640,106389504,79729635328,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88256,9379390,23171440640,106389504,79729635328,5400718,0,1117906,243446,0,0,0,0,0,6212,0.0,8364.0,0.0,4.0
88257,5191806,23171440640,106389504,79729635328,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88258,9607969,23126970368,51265536,79674511360,5271877,0,1136962,226946,0,0,0,0,0,6402,0.0,8364.0,0.0,4.0
88259,5212285,23126970368,51265536,79674511360,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88260,3800808,23126970368,51265536,79674511360,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88261,10516002,23126970368,51265536,79674511360,5362257,0,1108409,313458,0,0,0,0,0,4839,0.0,8364.0,0.0,4.0
88262,2592091,23126970368,51265536,79674511360,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88263,9031728,23126970368,51265536,79674511360,4446619,0,1103489,200636,0,0,0,0,0,4599,0.0,8364.0,0.0,4.0
88264,2713619,23126970368,51265536,79674511360,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88265,4589668,23126970368,51265536,79674511360,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88266,3306200,23126966272,51261440,79674507264,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88267,9433301,23126966272,51261440,79674507264,4835729,0,1111174,363111,0,0,0,0,0,3987,0.0,8364.0,0.0,4.0
88268,2709392,23126966272,51261440,79674507264,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88269,7639847,23126966272,51261440,79674507264,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88270,14015334,23126962176,51257344,79674503168,4524756,0,1109260,241623,0,0,0,0,0,4328,0.0,8364.0,0.0,4.0
88271,12550658,23126962176,51257344,79674503168,7878275,0,1105914,242395,0,0,0,0,0,4679,0.0,8364.0,0.0,4.0
88272,2807625,23126962176,51257344,79674503168,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88273,9167653,23126962176,51257344,79674503168,4535346,0,1108098,236273,0,0,0,0,0,4909,0.0,8364.0,0.0,4.0
88274,2596038,23126962176,51257344,79674503168,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88275,5953856,23142150144,106381312,79729627136,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
