Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;ServerFixedUpdate;TerrainGeneration;PlayerTerrainGenCheck;StructureGeneration;TerrainLogicSystem;GetUpdates;ReevaluatePropagateMarker;PropagateLogicState;CheckGateState;StatisticsSystem;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
206;677039;501198848;9527296;447455232;0;0;0;0;0;0;0;0;0;1232;0;0;1;0;
207;570800;501198848;9527296;447455232;0;0;0;0;0;0;0;0;0;1222;0;0;1;0;
208;612679;501198848;9527296;447455232;0;0;0;0;0;0;0;0;0;1232;0;0;1;0;
209;651011;501198848;9527296;447455232;0;0;0;0;0;0;0;0;0;1233;0;0;1;0;
210;605716;501198848;9527296;447455232;0;0;0;0;0;0;0;0;0;1212;0;0;1;0;
211;603692;501198848;9527296;447455232;0;0;0;0;0;0;0;0;0;1232;0;0;1;0;
212;615304;501198848;9527296;447455232;0;0;0;0;0;0;0;0;0;1222;0;0;1;0;
213;633909;501198848;9527296;447455232;0;0;0;0;0;0;0;0;0;1222;0;0;1;0;
214;688571;501198848;9527296;447455232;0;0;0;0;0;0;0;0;0;1252;0;0;1;0;
215;622467;501198848;9527296;447455232;0;0;0;0;0;0;0;0;0;1252;0;0;1;0;
216;614141;501198848;9527296;447455232;0;0;0;0;0;0;0;0;0;1222;0;0;1;0;
217;894377;501198848;9527296;447455232;0;0;0;0;0;0;0;0;0;1403;0;0;1;0;
218;1359850;501198848;9527296;447455232;0;0;0;0;0;0;0;0;0;1212;0;0;1;0;
219;1338851;505393152;9527296;464232448;0;0;0;0;0;0;0;0;0;1212;0;0;1;0;
220;706505;505393152;9527296;464232448;0;0;0;0;0;0;0;0;0;1242;0;0;1;0;
221;701195;505393152;9527296;464232448;0;0;0;0;0;0;0;0;0;1222;0;0;1;0;
222;719129;505393152;9527296;464232448;0;0;0;0;0;0;0;0;0;1203;0;0;1;0;
223;752462;505393152;9527296;464232448;0;0;0;0;0;0;0;0;0;1243;0;0;1;0;
224;709641;505393152;9527296;464232448;0;0;0;0;0;0;0;0;0;1242;0;0;1;0;
225;773451;505393152;9527296;464232448;0;0;0;0;0;0;0;0;0;1202;0;0;1;0;
226;757932;505393152;9527296;464232448;0;0;0;0;0;0;0;0;0;1202;0;0;1;0;
227;714680;505393152;9527296;464232448;0;0;0;0;0;0;0;0;0;1212;0;0;1;0;
228;721283;505393152;9527296;464232448;0;0;0;0;0;0;0;0;0;1203;0;0;1;0;
229;705173;505393152;9527296;464232448;0;0;0;0;0;0;0;0;0;1212;0;0;1;0;
230;694312;505393152;9527296;464232448;0;0;0;0;0;0;0;0;0;1182;0;0;1;0;
231;694262;505393152;9527296;464232448;0;0;0;0;0;0;0;0;0;1192;0;0;1;0;
232;660599;505393152;9527296;464232448;0;0;0;0;0;0;0;0;0;1232;0;0;1;0;
233;708800;505393152;9527296;464232448;0;0;0;0;0;0;0;0;0;1212;0;0;1;0;
234;715211;505393152;9527296;464232448;0;0;0;0;0;0;0;0;0;1222;0;0;1;0;
235;763432;505393152;9527296;464232448;0;0;0;0;0;0;0;0;0;1212;0;0;1;0;
236;667331;505393152;9527296;464232448;0;0;0;0;0;0;0;0;0;1212;0;0;1;0;
237;693461;505393152;9527296;464232448;0;0;0;0;0;0;0;0;0;1203;0;0;1;0;
238;771607;505393152;9527296;464232448;0;0;0;0;0;0;0;0;0;1192;0;0;1;0;
239;698750;505393152;9527296;464232448;0;0;0;0;0;0;0;0;0;1202;0;0;1;0;
240;671239;505393152;9527296;464232448;0;0;0;0;0;0;0;0;0;1183;0;0;1;0;
241;683532;505393152;9527296;464232448;0;0;0;0;0;0;0;0;0;1202;0;0;1;0;
242;672100;505393152;9527296;464232448;0;0;0;0;0;0;0;0;0;1162;0;0;1;0;
243;720021;505393152;9527296;464232448;0;0;0;0;0;0;0;0;0;1192;0;0;1;0;
244;679213;505393152;9527296;464232448;0;0;0;0;0;0;0;0;0;1192;0;0;1;0;
245;700303;505393152;9527296;464232448;0;0;0;0;0;0;0;0;0;1212;0;0;1;0;
246;741471;505651200;9527296;464232448;0;0;0;0;0;0;0;0;0;1192;0;0;1;0;
247;1188249;505651200;9527296;464232448;0;0;0;0;0;0;0;0;0;1192;0;0;1;0;
248;674705;505651200;9527296;464232448;0;0;0;0;0;0;0;0;0;1263;0;0;1;0;
249;693921;505651200;9527296;464232448;0;0;0;0;0;0;0;0;0;1243;0;0;1;0;
250;707046;505651200;9527296;464232448;0;0;0;0;0;0;0;0;0;1192;0;0;1;0;
251;798257;505651200;9527296;464232448;0;0;0;0;0;0;0;0;0;1203;0;0;1;0;
252;699612;505651200;9527296;464232448;0;0;0;0;0;0;0;0;0;1172;0;0;1;0;
253;665317;505651200;9527296;464232448;0;0;0;0;0;0;0;0;0;1203;0;0;1;0;
254;684524;505651200;9527296;464232448;0;0;0;0;0;0;0;0;0;1202;0;0;1;0;
255;689203;505651200;9527296;464232448;0;0;0;0;0;0;0;0;0;1213;0;0;1;0;
256;671109;505651200;9527296;464232448;0;0;0;0;0;0;0;0;0;1212;0;0;1;0;
257;704822;505651200;9527296;464232448;0;0;0;0;0;0;0;0;0;1212;0;0;1;0;
258;707296;505651200;9527296;464232448;0;0;0;0;0;0;0;0;0;1192;0;0;1;0;
259;708920;505651200;9527296;464232448;0;0;0;0;0;0;0;0;0;1192;0;0;1;0;
260;673212;505651200;9527296;464232448;0;0;0;0;0;0;0;0;0;1192;0;0;1;0;
261;686207;505651200;9527296;464232448;0;0;0;0;0;0;0;0;0;1162;0;0;1;0;
262;3976017;509898752;9527296;464232448;0;0;0;0;0;0;0;0;0;2304;1;0;1;0;
263;1123527;509898752;9527296;464232448;0;0;0;0;0;0;0;0;0;1303;1;0;1;0;
264;769393;509898752;9527296;464232448;0;0;0;0;0;0;0;0;0;1263;1;0;1;0;
265;781114;509898752;9527296;464232448;0;0;0;0;0;0;0;0;0;1273;1;0;1;0;
266;810891;509898752;9527296;464232448;0;0;0;0;0;0;0;0;0;1212;1;0;1;0;
267;764664;509898752;9527296;464232448;0;0;0;0;0;0;0;0;0;1272;1;0;1;0;
268;772088;509898752;9527296;464232448;0;0;0;0;0;0;0;0;0;1242;1;0;1;0;
269;761157;509898752;9527296;464232448;0;0;0;0;0;0;0;0;0;1263;1;0;1;0;
270;856015;509898752;9527296;464232448;0;0;0;0;0;0;0;0;0;1242;1;0;1;0;
271;795262;509898752;9527296;464232448;0;0;0;0;0;0;0;0;0;1283;1;0;1;0;
272;944110;509898752;9527296;464232448;0;0;0;0;0;0;0;0;0;10229;1;0;1;0;
273;810109;509898752;9527296;464232448;0;0;0;0;0;0;0;0;0;1252;1;0;1;0;
274;796604;509898752;9527296;464232448;0;0;0;0;0;0;0;0;0;1243;1;0;1;0;
275;810921;510275584;9527296;464232448;0;0;0;0;0;0;0;0;0;1253;1;0;1;0;
276;800832;510275584;9527296;464232448;0;0;0;0;0;0;0;0;0;1262;1;0;1;0;
277;743845;510275584;9527296;464232448;0;0;0;0;0;0;0;0;0;1282;1;0;1;0;
278;778971;510275584;9527296;464232448;0;0;0;0;0;0;0;0;0;1343;1;0;1;0;
