Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,CheckGateState,StatisticsSystem,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
82048,13780063,42719821824,71589888,149862404096,2979387,0,1402320,102973,0,0,0,0,0,5019,0.0,267.0,0.0,100.0
82049,5437888,42724016128,71589888,149862404096,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
82050,5656498,42724016128,71593984,149862408192,2977735,0,1411447,97603,0,0,0,0,0,4559,0.0,267.0,0.0,100.0
82051,8892206,42724016128,71593984,149862408192,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
82052,6517493,42728210432,71593984,149879185408,3234055,0,1399865,83066,0,0,0,0,0,4910,0.0,267.0,0.0,100.0
82053,5081029,42728210432,71593984,149879185408,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
82054,4412946,42728210432,71593984,149879185408,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
82055,5065449,42728210432,71593984,149879185408,2919144,0,1402570,105739,0,0,0,0,0,4809,0.0,267.0,0.0,100.0
82056,5087461,42728210432,71593984,149879185408,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
82057,4581582,42732404736,71593984,149895962624,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
82058,7664203,42732404736,71593984,149895962624,2969890,0,1433589,95048,0,0,0,0,0,4629,0.0,267.0,0.0,100.0
82059,4936047,42732404736,71593984,149895962624,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
82060,2084209,42736603136,71589888,149912735744,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
82061,4511521,42736603136,71589888,149912735744,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
82062,6454374,42736603136,71589888,149912735744,3091928,0,1395337,108423,0,0,0,0,0,4378,0.0,267.0,0.0,100.0
82063,8979500,42736603136,71589888,149912735744,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
82064,8706207,42736603136,71589888,149912735744,3457595,0,1437846,138830,0,0,0,0,0,6042,0.0,267.0,0.0,100.0
82065,4266842,42736603136,71589888,149912735744,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
82066,4717107,42736603136,71589888,149912735744,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
82067,5682266,42736599040,71585792,149912731648,2954541,0,1397711,82675,0,0,0,0,0,4529,0.0,267.0,0.0,100.0
82068,5068225,42736599040,71585792,149912731648,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
82069,4560502,42736599040,71585792,149912731648,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
